season,team,player,jersey,pos,height,weight,dob,age,yos,draft,nationality,birthplace,pre_draft,prior_team,contract,fa_year,salary_26_27
2026-27,PHO,Khaman Maluach,10,C,7'1,250,09/14/06,19.81,1,2025-10,SSD,South Sudan - Rumbek,Duke,Phoenix Suns,4 yr / $27.4M,2027 +2,6316680
2026-27,PHO,Koa Peat,18,F,6'7,245,01/20/07,19.45,R,2026-30,USA,AZ - Gilbert,Arizona,Arizona,4 yr / $15M,2028 +2,2927520
2026-27,PHO,Pat Spencer,,G,6'2,205,07/04/96,30.02,3,2020-ND,USA,MD - Davidsonville,Northwestern,Golden State Warriors,Two-Way,,
2026-27,PHO,Mark Williams,25,C,7'1,240,12/16/01,24.55,4,2022-15,USA,VA - Norfolk,Duke,Phoenix Suns,3 yr / $38M,2029,11728395
2026-27,POR,Deni Avdija,8,F,6'8,230,01/03/01,25.50,6,2020-09,"ISR, SRB",Israel - Beir Zera,Maccabi Tel Aviv (Israel),Portland Trail Blazers,4 yr / $55M,2028,13125000
2026-27,POR,Toumani Camara,33,F,6'7,230,06/08/00,26.16,3,2023-52,BEL,Belgium - Brussels,Dayton,Portland Trail Blazers,4 yr / $81M,2030,18080358
2026-27,POR,Branden Carlson,10,C,7'0,220,06/14/99,27.07,2,2024-ND,USA,UT - South Jordan,Utah,Oklahoma City Thunder,1 yr / $2.4M,2027,2449421
2026-27,POR,Sidy Cissoko,9,F,6'6,220,04/02/02,22.26,3,2023-44,FRA,France - Saint-Maurice,G League Ignite,Portland Trail Blazers,2 yr / $3.2M,2027,2497812
2026-27,POR,Donovan Clingan,23,C,7'2,280,02/23/04,22.36,2,2024-07,USA,CT - Bristol,Connecticut,Portland Trail Blazers,4 yr / $31.1M,2027 +1,7519920
2026-27,POR,Barry Dunning Jr.,,G,6'6,195,10/26/03,22.69,R,2026-ND,USA,AL - Mobile,Pittsburgh,Pittsburgh,Exhibit 10,,
2026-27,POR,Yang Hansen,16,C,7'1,270,06/26/05,21.02,1,2025-16,CHN,China - Zibo,Qingdao (China),Portland Trail Blazers,4 yr / $21.4M,2027 +2,4643520
2026-27,POR,Scoot Henderson,00,G,6'3,205,02/03/04,22.42,3,2023-03,USA,GA - Marietta,G League Ignite,Portland Trail Blazers,4 yr / $44.4M,2027,13585523
2026-27,POR,Jrue Holiday,5,G,6'4,220,06/12/90,36.07,17,2009-17,USA,CA - Los Angeles,UCLA,Portland Trail Blazers,4 yr / $134M,2027 +1,34800000
2026-27,POR,Jayson Kent,29,F,6'8,215,02/03/02,24.42,1,2025-ND,USA,TX - Austin,Texas,Portland Trail Blazers,Two-Way,,
2026-27,POR,Vit Krejci,27,G,6'8,195,06/19/00,26.05,5,2020-37,CZE,Czech Republic - Strakonice,Zaragoza (Spain),Portland Trail Blazers,4 yr / $10.2M,2027 +1,2667944
2026-27,POR,Damian Lillard,0,G,6'2,200,07/15/90,35.98,13,2012-06,USA,CA - Oakland,Weber State,Portland Trail Blazers,3 yr / $41.6M,2027 +1,13398000
2026-27,POR,Ja Morant,1,G,6'2,175,08/10/99,26.90,7,2019-02,USA,SC - Dalzell,Murray State,Memphis Grizzlies,5 yr / $197M,2028,42166510
2026-27,POR,Shaedon Sharpe,17,G,6'5,210,05/30/03,23.10,4,2022-07,CAN,Canada - London,Did Not Play,Portland Trail Blazers,4 yr / $90M,2030,20089287
2026-27,POR,Robert Williams III,35,C,6'9,250,10/17/97,28.73,8,2018-27,USA,LA - Shreveport,Texas A&M,Portland Trail Blazers,3 yr / $44M,2029,14000000
2026-27,POR,Chris Youngblood,11,G,6'4,220,02/09/02,24.40,1,2025-ND,USA,AL - Tuscaloosa,Alabama,Portland Trail Blazers,Two-Way,,
2026-27,SAC,Precious Achiuwa,,C,6'8,245,09/19/99,26.81,6,2020-20,NGR,Nigeria - Port Harcourt,Memphis,Sacramento Kings,2 yr / $11.5M,2028,5609756
2026-27,SAC,Darius Acuff Jr.,5,G,6'2,185,11/16/07,18.63,R,2026-07,USA,MI - Detroit,Arkansas,Arkansas,4 yr / $36.5M,2028 +2,8023440
2026-27,SAC,Patrick Baldwin Jr.,23,F,7'0,220,11/18/02,23.63,4,2022-28,USA,WI - Green Bay,Milwaukee,Sacramento Kings,RFA,,
2026-27,SAC,Dylan Cardwell,32,C,6'10,255,12/16/01,24.55,1,2025-ND,USA,GA - Augusta,Auburn,Sacramento Kings,4 yr / $8.3M,2028 +1,2150917
2026-27,SAC,Nique Clifford,5,G,6'5,175,02/09/02,24.40,1,2025-25,USA,CO - Colorado Springs,Colorado State,Sacramento Kings,4 yr / $15.8M,2027 +2,3263400
2026-27,SAC,DeMar DeRozan,10,F,6'6,220,08/07/89,36.92,17,2009-09,USA,CA - Compton,USC,Sacramento Kings,3 yr / $73.7M,2027,25740000
2026-27,SAC,B.J. Edwards,,G,6'5,200,11/02/02,23.67,R,2026-ND,USA,TN - Knoxville,Southern Methodist,Southern Methodist,Exhibit 10,,
2026-27,SAC,Adam Flagler,20,G,6'3,180,12/01/99,26.61,2,2023-ND,USA,GA - Duluth,Baylor,Austin Spurs (G League),Two-Way,,
2026-27,SAC,Killian Hayes,6,G,6'4,195,07/27/01,24.94,6,2020-07,USA,FL - Lakeland,Ratiopharm Ulm (Germany),Sacramento Kings,2 yr / $3.5M,2026 +1,3018158
2026-27,SAC,De'Andre Hunter,15,F,6'7,220,12/02/97,28.59,6,2019-04,USA,PA - Philadelphia,Virginia,Sacramento Kings,4 yr / $90M,2027,24910714
2026-27,SAC,Alex Karaban,33,F,6'6,225,11/11/02,23.65,R,2026-29,USA,MA - Southborough,Connecticut,Connecticut,4 yr / $15.1M,2028 +2,2949000
2026-27,SAC,Zach Lavine,8,G,6'5,200,03/10/95,31.33,12,2014-13,USA,WA - Renton,UCLA,Sacramento Kings,5 yr / $215M,2027,48967380
2026-27,SAC,Jonathan Mogbo,22,F,6'9,225,10/29/01,24.69,2,2024-31,USA,FL - West Palm Beach,San Francisco,Toronto Raptors,Two-Way,,
2026-27,SAC,Malik Monk,0,G,6'3,200,02/04/98,28.42,9,2017-11,USA,AR - Jonesboro,Kentucky,Sacramento Kings,4 yr / $78M,2027 +1,20190035
2026-27,SAC,Keegan Murray,13,F,6'8,225,08/19/00,25.88,4,2022-04,USA,IA - Cedar Rapids,Iowa,Sacramento Kings,5 yr / $140M,2031,24137936
2026-27,SAC,Daeqwon Plowden,29,G,6'4,215,08/29/98,27.85,2,2022-ND,USA,PA - Philadelphia,Bowling Green,Sacramento Kings,RFA,,
2026-27,SAC,Maxime Raynaud,42,C,7'1,250,04/07/03,23.25,1,2025-42,FRA,France - Paris,Stanford,Sacramento Kings,3 yr / $5.9M,2027 +1,2150918
2026-27,SAC,Domantas Sabonis,11,C,6'10,240,05/03/96,30.18,10,2016-11,USA,OR - Portland,Gonzaga,Sacramento Kings,4 yr / $186M,2028,45472000
2026-27,SAC,Emanuel Sharp,34,G,6'2,210,03/07/04,22.33,R,2026-45,"USA, ISR",Israel - Tel Aviv,Houston,Houston,2nd Rd Pick,,
2026-27,SAC,Isaiah Stevens,24,G,5'11,185,11/01/00,25.68,2,2024-ND,USA,TX - Allen,Colorado State,Sacramento Kings,RFA,,
2026-27,SAS,Harrison Barnes,40,F,6'7,225,05/30/92,34.11,14,2012-07,USA,IA - Ames,North Carolina,San Antonio Spurs,1 yr / $8M,2027,8000000
2026-27,SAS,Maliq Brown,15,F,6'8,215,11/16/03,22.64,R,2026-44,USA,VA - Culpeper,Duke,Duke,2nd Rd Pick,,
2026-27,SAS,Carter Bryant,11,F,6'6,210,11/26/05,20.61,1,2025-14,USA,CA - Riverside,Arizona,San Antonio Spurs,4 yr / $23.4M,2027 +2,5145360
2026-27,SAS,Stephon Castle,6,G,6'5,215,11/01/04,21.67,2,2024-04,USA,CA - Coronado,Connecticut,San Antonio Spurs,4 yr / $41.4M,2027 +1,10015920
2026-27,SAS,Julian Champagnie,30,F,6'7,215,06/29/01,25.02,4,2022-50,USA,NY - Staten Island,St. John's,San Antonio Spurs,3 yr / $45M,2029,15350000
2026-27,SAS,De'Aaron Fox,4,G,6'3,185,12/20/97,28.55,9,2017-05,USA,LA - New Orleans,Kentucky,San Antonio Spurs,4 yr / $222M,2030,49500000
2026-27,SAS,Ja'Kobi Gillespie,17,G,5'11,180,03/10/04,22.32,R,2026-42,USA,TN - Greenville,Tennessee,Tennessee,2nd Rd Pick,,
2026-27,SAS,Dylan Harper,2,G,6'5,215,03/02/06,20.34,1,2025-02,USA,NJ - Franklin Lakes,Rutgers,San Antonio Spurs,4 yr / $56.1M,2027 +2,12989040
2026-27,SAS,Tobias Harris,12,F,6'8,225,07/15/92,33.99,15,2011-19,USA,NY - Islip,Tennessee,Detroit Pistons,2 yr / $31M,2028,15044000
2026-27,SAS,Harrison Ingram,55,F,6'5,230,11/27/02,23.61,2,2024-48,USA,TX - Dallas,North Carolina,San Antonio Spurs,RFA,,
2026-27,SAS,Keldon Johnson,3,F,6'6,230,10/11/99,26.74,7,2019-29,USA,KY - Chesterfield,Kentucky,San Antonio Spurs,4 yr / $74M,2027,17500000
2026-27,SAS,David Jones Garcia,25,F,6'4,210,11/24/01,24.61,4,2024-ND,DOM,Dominican Republic - Santo Domingo,Memphis,San Antonio Spurs,RFA,,
2026-27,SAS,Luke Kornet,5,C,7'1,250,07/15/95,30.98,9,2017-ND,USA,KY - Lexington,Vanderbilt,San Antonio Spurs,4 yr / $40.7M,2028 +1,10450000
2026-27,SAS,Emanuel Miller,14,F,6'5,215,06/19/00,26.05,2,2024-ND,CAN,Canada - Scarborough,TCU,San Antonio Spurs,Two-Way,,
2026-27,SAS,Jayden Quaintance,22,F,6'9,255,07/11/07,18.98,R,2026-20,USA,OH - Cleveland,Kentucky,Kentucky,4 yr / $18.9M,2028 +2,3903720
2026-27,SAS,Tarris Reed Jr.,10,C,6'9,265,08/05/03,22.92,R,2026-26,USA,MO - St. Louis,Connecticut,Connecticut,4 yr / $15.8M,2028 +2,3077640
2026-27,SAS,Devin Vassell,24,G,6'5,200,08/23/00,25.87,6,2020-09,USA,GA - Lawrenceville,Florida State,San Antonio Spurs,5 yr / $131M,2029,27000000
2026-27,SAS,Victor Wembanyama,1,C,7'4,235,01/04/04,22.50,3,2023-01,FRA,France - Le Chesnay,Metropolitans (France),San Antonio Spurs,4 yr / $55.2M,2027,16868250
2026-27,TOR,Kyle Anderson,,F,6'8,230,09/20/93,32.81,12,2014-30,"USA, CHN",NY - New York City,UCLA,Minnesota Timberwolves,1 yr / $3.9M,2027,3876529
2026-27,TOR,Scottie Barnes,4,F,6'8,235,08/01/01,24.93,5,2021-04,USA,FL - West Palm Beach,Florida State,Toronto Raptors,5 yr / $224M,2030,41754690
2026-27,TOR,RJ Barrett,9,F,6'6,215,06/14/00,26.06,7,2019-03,CAN,Canada - Toronto,Duke,Toronto Raptors,4 yr / $107M,2027,29616071
2026-27,TOR,Jamison Battle,77,F,6'7,220,05/10/01,25.16,2,2024-ND,USA,MN - Minneapolis,Ohio State,Toronto Raptors,3 yr / $5.3M,2027,2296271
2026-27,TOR,Nate Bittle,,C,7'0,215,06/03/03,23.09,R,2026-ND,USA,OR - Central Point,Oregon,Oregon,Exhibit 10,,
2026-27,TOR,Jaden Bradley,8,G,6'2,205,09/14/03,22.81,R,2026-50,USA,NY - Rochester,Arizona,Arizona,2nd Rd Pick,,
2026-27,TOR,Nimari Burnett,,G,6'5,200,12/20/01,24.54,R,2026-ND,USA,IL - Chicago,Michigan,Michigan,Exhibit 10,,
2026-27,TOR,Allen Graves,22,F,6'7,225,07/28/06,19.94,R,2026-19,USA,LA - Ponchatoula,Santa Clara,Santa Clara,4 yr / $19.7M,2028 +2,4066680
2026-27,TOR,Chucky Hepburn,24,G,6'0,190,02/09/03,23.40,1,2025-ND,USA,NE - Omaha,Louisville,Toronto Raptors,Two-Way,,
2026-27,TOR,Trayce Jackson-Davis,32,C,6'9,245,02/22/00,26.37,3,2023-57,USA,IN - Greenwood,Indiana,Toronto Raptors,4 yr / $7.4M,2027,2406205
2026-27,TOR,Kawhi Leonard,,F,6'6,225,06/29/91,35.04,14,2011-15,USA,CA - Los Angeles,San Diego State,Los Angeles Clippers,3 yr / $150M,2027,50300000
2026-27,TOR,Alijah Martin,55,G,6'2,210,12/26/01,24.53,1,2025-39,USA,MS - Summit,Florida,Toronto Raptors,RFA,,
2026-27,TOR,Collin Murray-Boyles,12,F,6'7,245,06/10/05,21.07,1,2025-09,USA,SC - Columbia,South Carolina,Toronto Raptors,4 yr / $28.8M,2027 +2,6649560
2026-27,TOR,Jakob Poeltl,19,C,7'0,255,10/15/95,30.73,10,2016-09,AUT,Austria - Vienna,Utah,Toronto Raptors,3 yr / $84.1M,2030,19500000
2026-27,TOR,Immanuel Quickley,5,G,6'2,190,06/17/99,27.05,6,2020-25,USA,MD - Havre de Grace,Kentucky,Toronto Raptors,5 yr / $163M,2029,32500000
2026-27,TOR,Jamal Shead,23,G,6'1,200,06/24/02,24.03,2,2024-45,USA,TX - Austin,Houston,Toronto Raptors,3 yr / $6.1M,2027,2296271
2026-27,TOR,Ja'Kobe Walter,14,G,6'4,180,09/04/04,21.83,2,2024-19,USA,TX - Dallas,Baylor,Toronto Raptors,4 yr / $16.8M,2027 +1,3811800
2026-27,UTA,Ace Bailey,19,F,6'9,200,08/13/06,19.89,1,2025-05,USA,TN - Chattanooga,Rutgers,Utah Jazz,4 yr / $41.2M,2027 +2,9523080
2026-27,UTA,Tamar Bates,0,G,6'4,195,02/21/03,23.37,R,2025-ND,USA,KS - Kansas City,Missouri,Grand Rapids Gold (G League),Two-Way,,
2026-27,UTA,Isaiah Collier,8,G,6'4,210,10/08/04,21.74,2,2024-29,USA,GA - Atlanta,USC,Utah Jazz,4 yr / $12.9M,2027 +1,2763960
2026-27,UTA,Kyle Filipowski,2,C,6'11,250,11/07/03,22.66,2,2024-32,USA,NY - Middletown,Duke,Utah Jazz,4 yr / $12M,2027 +1,3000000
2026-27,UTA,Keyonte George,3,G,6'4,185,11/08/03,22.66,3,2023-16,USA,TX - Lewisville,Baylor,Utah Jazz,4 yr / $18.8M,2027,6563925
2026-27,UTA,Hayden Gray,33,G,6'4,190,05/11/03,23.15,1,2025-ND,USA,CA - San Diego,UC San Diego,Utah Jazz,2 yr / $2.2M,2026 +1,2150917
2026-27,UTA,Micah Handlogten,,C,7'1,255,12/17/03,22.55,R,2026-ND,USA,NC - Huntersville,Florida,Florida,Exhibit 10,,
2026-27,UTA,Jaxson Hayes,,C,7'0,220,05/23/00,26.13,7,2019-08,"USA, SLO",OK - Norman,Texas,Los Angeles Lakers,2 yr / $12M,2027 +1,6064000
2026-27,UTA,Blake Hinson,11,F,6'8,240,12/26/99,26.53,1,2024-ND,USA,FL - Daytona Beach,Pittsburgh,Utah Jazz,Two-Way,,
2026-27,UTA,Jaren Jackson Jr.,20,C,6'10,240,09/15/99,26.81,8,2018-04,USA,NJ - Plainfield,Michigan State,Utah Jazz,4 yr / $205M,2029 +1,49000000
2026-27,UTA,Jaxon Kohler,,C,6'9,245,06/17/03,23.05,R,2026-ND,USA,UT - American Fork,Michigan State,Michigan State,Two-Way,,
2026-27,UTA,John Konchar,55,G,6'5,210,03/22/96,30.29,7,2019-ND,USA,IL - Chicago,Purdue Fort Wayne,Utah Jazz,3 yr / $18.5M,2027,6165000
2026-27,UTA,Lauri Markkanen,23,F,7'1,240,05/22/97,29.13,9,2017-07,FIN,Finland - Vantaa,Arizona,Utah Jazz,4 yr / $196M,2029,46113154
2026-27,UTA,Bez Mbeng,21,G,6'4,185,05/02/03,23.18,1,2025-ND,USA,MD - Potomac,Yale,Utah Jazz,2 yr / $2.2M,2026 +1,2150917
2026-27,UTA,Svi Mykhailiuk,10,F,6'7,205,06/10/97,29.07,8,2018-47,UKR,Ukraine - Cherkasy,Kansas,Utah Jazz,4 yr / $15.1M,2027 +1,3850000
2026-27,UTA,Jusuf Nurkic,30,C,6'11,290,08/23/94,31.87,12,2014-16,BIH,Bosnia & Herzegovina - Zivinice,Zadar (Croatia),Utah Jazz,2 yr / $22M,2028,10576923
2026-27,UTA,Darryn Peterson,22,G,6'4,200,01/17/07,19.46,R,2026-02,USA,OH - Canton,Kansas,Kansas,4 yr / $59.9M,2028 +2,13198440
2026-27,UTA,Brice Sensabaugh,28,F,6'6,235,10/30/03,22.68,3,2023-28,USA,FL - Wilton Manors,Ohio State,Utah Jazz,4 yr / $12.6M,2027,4862237
2026-27,UTA,Cody Williams,5,G,6'8,190,11/20/04,21.62,2,2024-10,USA,CA - San Luis Obispo,Colorado,Utah Jazz,4 yr / $24.9M,2027 +1,6015600
2026-27,UTA,Josh Okogie,,G,,,09/01/98,24.80,,,,,,Houston Rockets,2 yr / $12M,2027,6000000
2026-27,WAS,Deandre Ayton,,C,7'0,250,07/23/98,27.96,8,2018-01,BAH,Bahamas - Nassau,Arizona,Los Angeles Lakers,2 yr / $16.2M,2027,8104000
2026-27,WAS,Bub Carrington,7,G,6'4,190,07/21/05,20.96,2,2024-14,USA,MD - Baltimore,Pittsburgh,Washington Wizards,4 yr / $21.3M,2027 +1,4900560
2026-27,WAS,Justin Champagnie,9,F,6'6,205,06/29/01,25.02,5,2021-ND,USA,NY - New York City,Pittsburgh,Washington Wizards,4 yr / $9.8M,2027 +1,2667944
2026-27,WAS,Sharife Cooper,13,G,6'0,175,06/11/01,25.07,2,2021-48,USA,NJ - Newark,Auburn,Washington Wizards,RFA,,
2026-27,WAS,Bilal Coulibaly,0,G,6'7,195,07/26/04,21.94,3,2023-07,FRA,France - Saint-Cloud,Metropolitans (France),Washington Wizards,4 yr / $30.1M,2027,9240012
2026-27,WAS,Anthony Davis,23,F,6'10,255,03/11/93,33.33,14,2012-01,USA,IL - Chicago,Kentucky,Washington Wizards,3 yr / $175M,2027 +1,58456566
2026-27,WAS,AJ Dybantsa,4,F,6'8,215,01/19/07,19.46,R,2026-01,USA,MA - Boston,BYU,BYU,4 yr / $66.9M,2028 +2,14751480
2026-27,WAS,Kyshawn George,18,F,6'8,200,12/13/03,22.56,2,2024-24,"SUI, CAN",Switzerland - Monthey,Miami (FL),Washington Wizards,4 yr / $14.3M,2027 +1,3108000
2026-27,WAS,Tre Johnson,12,G,6'5,190,03/07/06,20.33,1,2025-06,USA,TX - Dallas,Texas,Washington Wizards,4 yr / $37.4M,2027 +2,8649600
2026-27,WAS,Khris Middleton,,F,6'6,222,08/12/91,34.92,13,2012-39,USA,SC - Charleston,Texas A&M,Milwaukee Bucks,3 yr / $17.6M,2029,5591122
2026-27,WAS,KeShawn Murphy,,F,6'10,230,11/24/02,23.61,R,2026-ND,USA,AL - Birmingham,Auburn,Auburn,Exhibit 10,,
2026-27,WAS,Felix Okpara,34,F,6'11,235,04/20/04,22.21,R,2026-46,NGR,Nigeria - Lagos,Tennessee,Tennessee,2nd Rd Pick,,
2026-27,WAS,Julian Reese,15,F,6'9,230,06/30/03,23.02,1,2025-ND,USA,MD - Baltimore,Maryland,Washington Wizards,Two-Way,,
2026-27,WAS,Will Riley,27,F,6'9,180,02/10/06,20.40,1,2025-21,CAN,Canada - Kitchener,Illinois,Washington Wizards,4 yr / $17.2M,2027 +2,3688320
2026-27,WAS,D'Angelo Russell,28,G,6'3,195,02/23/96,30.37,11,2015-02,USA,KY - Louisville,Ohio State,Washington Wizards,2 yr / $11.7M,2027,5969250
2026-27,WAS,Alex Sarr,20,C,7'0,205,04/26/05,21.19,2,2024-02,FRA,France - Bordeaux,Perth (Australia),Washington Wizards,4 yr / $51M,2027 +1,12370680
2026-27,WAS,Seth Trimble,,G,6'3,195,08/09/04,21.90,R,2026-ND,USA,WI - Menomonee Falls,North Carolina,North Carolina,Two-Way,,
2026-27,WAS,Tristan Vukcevic,00,C,7'0,220,03/11/03,23.32,3,2023-42,"SRB, GRE",Italy - Siena,Partzan (Serbia),Washington Wizards,3 yr / $8.9M,2027 +1,3000000
2026-27,WAS,Jamir Watkins,5,G,6'6,210,07/06/01,25.01,1,2025-43,USA,NJ - Trenton,Florida State,Washington Wizards,Two-Way,,
2026-27,WAS,Cam Whitmore,1,F,6'6,230,07/08/04,21.99,3,2023-20,USA,MD - Odenton,Villanova,Washington Wizards,4 yr / $15.6M,2027,5458310
2026-27,WAS,Trae Young,3,G,6'2,165,09/19/98,27.80,8,2018-05,USA,TX - Lubbock,Oklahoma,Washington Wizards,4 yr / $212M,2029 +1,49488300
2026-27,UFA,Cole Anthony,,G,6'2,185,05/15/00,26.16,5,2020-15,USA,NY - New York City,North Carolina,Milwaukee Bucks,UFA,,
2026-27,UFA,Bruce Brown,,G,6'4,202,08/15/96,29.91,7,2018-42,USA,MA - Boston,Miami (FL),Denver Nuggets,UFA,,
2026-27,UFA,Elijah Harkless,,G,,,,,,,USA,,,Utah Jazz,UFA,,
2026-27,UFA,Kelly Olynyk,,F,6'11,238,04/19/91,35.23,12,2013-13,USA,BC - Kamloops,Gonzaga,San Antonio Spurs,UFA,,
2026-27,UFA,Cameron Payne,,G,6'1,185,08/08/94,31.93,10,2015-14,USA,MI - Flint,Murray State,Philadelphia 76ers,UFA,,
2026-27,UFA,Jett Howard,,G,,,09/14/03,22.80,,,,,,Orlando Magic,UFA,,
2026-27,UFA,Gary Payton II,,G,,,12/01/92,33.60,,,,,,Golden State Warriors,UFA,,
2026-27,UFA,Nick Richards,,C,6'11,240,11/28/98,27.62,5,2020-42,USA,NC - Chesapeake,Kentucky,Chicago Bulls,UFA,,
2026-27,UFA,Jeremy Sochan,,F,6'8,230,05/20/04,22.14,3,2022-09,POL,USA - Oklahoma City,Baylor,San Antonio Spurs,UFA,,
2026-27,UFA,Matisse Thybulle,,G,6'5,201,03/04/97,29.36,6,2019-20,USA,WA - Seattle,Washington,Portland Trail Blazers,UFA,,
2026-27,UFA,Trendon Watford,,F,6'8,237,02/23/01,25.38,4,2021-ND,USA,AL - Birmingham,LSU,Philadelphia 76ers,UFA,,
2026-27,UFA,Russell Westbrook,,G,6'3,200,11/12/88,37.66,17,2008-04,USA,CA - Long Beach,UCLA,Sacramento Kings,UFA,,
2026-27,UFA,Brandon Williams,,,,,,,,,,,,Dallas Mavericks,UFA,,
2026-27,UFA,Vince Williams Jr.,,F,6'6,210,08/17/99,26.90,3,2022-47,USA,VA - Virginia Beach,Virginia Commonwealth,Utah Jazz,UFA,,
2026-27,UFA,Jalen Wilson,,F,,,11/04/00,25.70,,,,,,Brooklyn Nets,UFA,,
